City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
182,Zarubino,RU,2020-04-20 04:33:01,42.63,131.09,39.69,94,100,8.55,light rain,0.9,0.0
183,Plettenberg Bay,ZA,2020-04-20 04:33:02,-34.05,23.37,68.02,55,0,1.68,clear sky,0.0,0.0
184,Namatanai,PG,2020-04-20 04:33:02,-3.67,152.43,84.07,72,90,5.3,light rain,1.02,0.0
185,Burshtyn,UA,2020-04-20 04:33:02,49.26,24.63,40.48,62,1,5.75,clear sky,0.0,0.0
186,Tual,ID,2020-04-20 04:33:03,-5.67,132.75,85.71,69,31,6.73,light rain,1.55,0.0
187,Alice Town,BS,2020-04-20 04:33:03,25.72,-79.3,81.16,76,69,18.28,light rain,0.13,0.0
188,Ouargaye,BF,2020-04-20 04:33:03,11.5,0.06,84.42,51,27,10.65,scattered clouds,0.0,0.0
189,Cherskiy,RU,2020-04-20 04:33:03,68.75,161.3,13.89,95,100,5.99,overcast clouds,0.0,0.0
190,Khatanga,RU,2020-04-20 04:33:04,71.97,102.5,33.03,98,30,5.75,scattered clouds,0.0,0.0
191,Pauini,BR,2020-04-20 04:33:04,-7.71,-66.98,72.1,88,65,0.87,broken clouds,0.0,0.0
192,Burmakino,RU,2020-04-20 04:33:04,57.42,40.24,32.0,64,90,4.59,fog,0.0,0.0
193,Paamiut,GL,2020-04-20 04:33:04,61.99,-49.67,22.75,82,7,13.06,clear sky,0.0,0.0
194,Grindavik,IS,2020-04-20 04:33:05,63.84,-22.43,46.4,100,90,26.4,light rain,0.0,0.0
195,Ocosingo,MX,2020-04-20 04:33:05,17.07,-92.25,69.91,57,41,2.89,scattered clouds,0.0,0.0
196,Kostomuksha,RU,2020-04-20 04:33:06,64.57,30.58,36.1,91,100,6.06,overcast clouds,0.0,0.0
197,Ghanzi,BW,2020-04-20 04:29:19,-21.57,21.78,64.04,34,0,8.84,clear sky,0.0,0.0
198,Puerto Leguizamo,CO,2020-04-20 04:33:06,-0.19,-74.78,70.59,79,70,1.59,broken clouds,0.0,0.0
199,Napier,NZ,2020-04-20 04:33:06,-39.48,176.92,64.99,61,100,1.01,overcast clouds,0.0,0.0
200,Svetlyy,RU,2020-04-20 04:33:07,54.67,20.13,39.2,80,0,8.95,clear sky,0.0,0.0
201,Sur,OM,2020-04-20 04:28:17,22.57,59.53,86.29,41,0,6.08,clear sky,0.0,0.0
202,San Policarpo,PH,2020-04-20 04:33:07,12.18,125.51,84.16,77,76,11.03,light rain,0.54,0.0
203,Peniche,PT,2020-04-20 04:33:07,39.36,-9.38,57.0,81,89,5.99,overcast clouds,0.0,0.0
204,North Branch,US,2020-04-20 04:33:08,45.51,-92.98,37.99,55,15,3.0,few clouds,0.0,0.0
205,Road Town,VG,2020-04-20 04:33:08,18.42,-64.62,79.0,84,12,13.0,light rain,0.13,0.0
206,Flinders,AU,2020-04-20 04:30:05,-34.58,150.86,69.01,65,99,1.01,overcast clouds,0.0,0.0
207,Kirakira,SB,2020-04-20 04:33:08,-10.45,161.92,83.52,75,48,0.58,light rain,2.82,0.0
208,Kerrville,US,2020-04-20 04:33:09,30.05,-99.14,68.0,62,1,6.24,clear sky,0.0,0.0
209,Oriximina,BR,2020-04-20 04:33:09,-1.77,-55.87,73.92,94,100,0.6,overcast clouds,0.0,0.0
210,Barrow,US,2020-04-20 04:33:09,71.29,-156.79,10.4,85,90,5.82,overcast clouds,0.0,0.0
211,Anadyr,RU,2020-04-20 04:33:11,64.75,177.48,19.4,73,96,6.71,overcast clouds,0.0,0.0
212,Agadez,NE,2020-04-20 04:33:11,19.75,10.25,82.35,12,44,8.84,scattered clouds,0.0,0.0
213,Filadelfia,US,2020-04-20 04:32:58,39.95,-75.16,55.99,58,90,3.36,overcast clouds,0.0,0.0
214,Lamar,US,2020-04-20 04:33:12,33.67,-95.58,61.0,93,90,6.93,overcast clouds,0.0,0.0
215,Sao Felix Do Xingu,BR,2020-04-20 04:33:12,-6.64,-51.99,70.97,91,97,0.67,moderate rain,4.73,0.0
216,Nisia Floresta,BR,2020-04-20 04:33:12,-6.09,-35.21,78.8,88,20,2.24,few clouds,0.0,0.0
217,Key West,US,2020-04-20 04:31:15,24.56,-81.78,82.4,78,1,14.99,clear sky,0.0,0.0
218,Raymond,US,2020-04-20 04:33:13,43.9,-70.47,50.0,65,71,1.99,broken clouds,0.0,0.0
219,Pisco,PE,2020-04-20 04:33:13,-13.7,-76.22,68.0,82,0,3.36,clear sky,0.0,0.0
220,Yellowknife,CA,2020-04-20 04:33:13,62.46,-114.35,14.0,66,75,5.82,broken clouds,0.0,0.0
221,Asau,RO,2020-04-20 04:33:14,46.43,26.4,41.0,60,71,9.17,broken clouds,0.0,0.0
222,Saint George,US,2020-04-20 04:31:26,37.1,-113.58,62.6,42,20,17.22,few clouds,0.0,0.0
223,Mingshui,CN,2020-04-20 04:33:14,36.72,117.5,66.99,22,11,1.99,few clouds,0.0,0.0
224,Zaozerne,UA,2020-04-20 04:33:15,45.16,33.28,47.86,88,100,19.55,light rain,2.36,0.0
225,Thompson,CA,2020-04-20 04:33:15,55.74,-97.86,15.8,92,75,4.7,light snow,0.0,0.0
226,Shaoguan,CN,2020-04-20 04:33:15,24.8,113.58,85.46,60,74,4.45,light rain,0.53,0.0
227,Chadan,RU,2020-04-20 04:33:15,51.28,91.58,58.03,24,0,3.47,clear sky,0.0,0.0
228,Mokhsogollokh,RU,2020-04-20 04:33:15,61.47,128.92,25.86,83,35,4.92,scattered clouds,0.0,0.0
